code	parent	level	unit	name
25951	724	3	phường	Bình An
25954	724	3	phường	Bình Thắng
25957	724	3	phường	Đông Hòa
25960	724	3	phường	An Bình
725	74	2	thành phố	Thuận An
25963	725	3	phường	An Thạnh
25966	725	3	phường	Lái Thiêu
25969	725	3	phường	Bình Chuẩn
25972	725	3	phường	Thuận Giao
25975	725	3	phường	An Phú
25978	725	3	phường	Hưng Định
25981	725	3	xã	An Sơn
25984	725	3	phường	Bình Nhâm
25987	725	3	phường	Bình Hòa
25990	725	3	phường	Vĩnh Phú
726	74	2	huyện	Bắc Tân Uyên
25894	726	3	xã	Tân Định
25897	726	3	xã	Bình Mỹ
25900	726	3	thị trấn	Tân Bình
25903	726	3	xã	Tân Lập
25906	726	3	thị trấn	Tân Thành
25907	726	3	xã	Đất Cuốc
25908	726	3	xã	Hiếu Liêm
25909	726	3	xã	Lạc An
25918	726	3	xã	Tân Mỹ
25927	726	3	xã	Thường Tân
75		1	tỉnh	Đồng Nai
731	75	2	thành phố	Biên Hòa
25993	731	3	phường	Trảng Dài
25996	731	3	phường	Tân Phong
25999	731	3	phường	Tân Biên
26002	731	3	phường	Hố Nai
26005	731	3	phường	Tân Hòa
26008	731	3	phường	Tân Hiệp
26011	731	3	phường	Bửu Long
26014	731	3	phường	Tân Mai
26017	731	3	phường	Tam Hiệp
26020	731	3	phường	Long Bình
26023	731	3	phường	Quang Vinh
26029	731	3	phường	Thống Nhất
26041	731	3	phường	Trung Dũng
26047	731	3	phường	Bình Đa
26050	731	3	phường	An Bình
26053	731	3	phường	Bửu Hòa
26056	731	3	phường	Long Bình Tân
26059	731	3	phường	Tân Vạn
26062	731	3	phường	Tân Hạnh
26065	731	3	phường	Hiệp Hòa
26068	731	3	phường	Hóa An
26371	731	3	phường	An Hòa
26374	731	3	phường	Tam Phước
26377	731	3	phường	Phước Tân
26380	731	3	xã	Long Hưng
732	75	2	thành phố	Long Khánh
26077	732	3	phường	Xuân Bình
26080	732	3	phường	Xuân An
26083	732	3	phường	Xuân Hoà
26086	732	3	phường	Phú Bình
26089	732	3	xã	Bình Lộc
26092	732	3	xã	Bảo Quang
26095	732	3	phường	Suối Tre
26098	732	3	phường	Bảo Vinh
26101	732	3	phường	Xuân Lập
26104	732	3	phường	Bàu Sen
26107	732	3	xã	Bàu Trâm
26110	732	3	phường	Xuân Tân
26113	732	3	xã	Hàng Gòn
734	75	2	huyện	Tân Phú
26116	734	3	thị trấn	Tân Phú
